グループ,地名,センター,燃えるごみ,燃えないごみ,資源
A,公文名,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,沢田,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,島川,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,田ヶ谷,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,堀田上,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,堀田下,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,堀之内,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,日吉町,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,宮前,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
A,西通り,環境資源ギャラリー ,火 金,20250403 20250417 20250501 20250515 20250529 20250612 20250626 20250710 20250724 20250807 20250821 20250904 20250918 20251002 20251016 20251030 20251113 20251127 20251211 20251225 20260115 20260129 20260212 20260226 20260312 20260326,20250410 20250424 20250508 20250522 20250605 20250619 20250703 20250717 20250731 20250814 20250828 20250911 20250925 20251009 20251023 20251106 20251120 20251204 20251218 20260108 20260122 20260205 20260219 20260305 20260319
